nse_symbol,company_name,sector,industry,market_cap_tier,in_nifty50,in_nifty500
PIIND,PI Industries Limited,Pesticides & Agrochemicals,,Mid,False,True
KPITTECH,KPIT Technologies Limited,Computers - Software & Consulting,,Mid,False,True
IIFL,IIFL Finance Limited,Non Banking Financial Company (NBFC),,Mid,False,True
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare Service Provider,,Mid,False,True
BOSCHLTD,Bosch Limited,Auto Components & Equipments,,Mid,False,True
HUDCO,Housing & Urban Development Corporation Limited,Financial Institution,,Mid,False,True
LGEINDIA,LG Electronics India Limited,Household Appliances,,Mid,False,True
MFSL,Max Financial Services Limited,Life Insurance,,Mid,False,True
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare Service Provider,,Mid,False,True
MANKIND,Mankind Pharma Limited,Pharmaceuticals,,Mid,False,True
PETRONET,Petronet LNG Limited,LPG/CNG/PNG/LNG Supplier,,Mid,False,True
COLPAL,Colgate Palmolive (India) Limited,Personal Care,,Mid,False,True
TRITURBINE,Triveni Turbine Limited,Heavy Electrical Equipment,,Mid,False,True
JYOTICNC,Jyoti CNC Automation Limited,Industrial Products,,Mid,False,True
TEJASNET,Tejas Networks Limited,Telecom - Equipment & Accessories,,Mid,False,True
SONACOMS,Sona BLW Precision Forgings Limited,Auto Components & Equipments,,Mid,False,True
LICI,Life Insurance Corporation Of India,Life Insurance,,Mid,False,True
CPPLUS,Aditya Infotech Limited,Industrial Products,,Mid,False,True
ONESOURCE,Onesource Specialty Pharma Limited,Pharmaceuticals,,Mid,False,True
DMART,Avenue Supermarts Limited,Diversified Retail,,Mid,False,True
360ONE,360 ONE WAM LIMITED,Stockbroking & Allied,,Mid,False,True
NAVINFLUOR,Navin Fluorine International Limited,Specialty Chemicals,,Mid,False,True
TATATECH,Tata Technologies Limited,IT Enabled Services,,Mid,False,True
PARADEEP,Paradeep Phosphates Limited,Fertilizers,,Mid,False,True
PRESTIGE,Prestige Estates Projects Limited,Residential Commercial Projects,,Mid,False,True
MRF,MRF Limited,Tyres & Rubber Products,,Mid,False,True
SAGILITY,SAGILITY LIMITED,IT Enabled Services,,Mid,False,True
REDINGTON,Redington Limited,Trading & Distributors,,Mid,False,True
ALKEM,Alkem Laboratories Limited,Pharmaceuticals,,Mid,False,True
NAVA,NAVA LIMITED,Power Generation,,Mid,False,True
CARTRADE,Cartrade Tech Limited,E-Retail/ E-Commerce,,Mid,False,True
APLAPOLLO,APL Apollo Tubes Limited,Iron & Steel Products,,Mid,False,True
KIRLOSENG,Kirloskar Oil Engines Limited,Compressors Pumps & Diesel Engines,,Mid,False,True
AARTIIND,Aarti Industries Limited,Specialty Chemicals,,Mid,False,True
ASTRAL,Astral Limited,Plastic Products - Industrial,,Mid,False,True
CAMS,Computer Age Management Services Limited,Depositories Clearing Houses and Other Intermediaries,,Mid,False,True
CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries & Marketing,,Mid,False,True
GPIL,Godawari Power And Ispat limited,Iron & Steel Products,,Mid,False,True
NEULANDLAB,Neuland Laboratories Limited,Pharmaceuticals,,Mid,False,True
CESC,CESC Limited,Integrated Power Utilities,,Mid,False,True
ENRIN,Siemens Energy India Limited,Heavy Electrical Equipment,,Mid,False,True
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Railway Wagons,,Mid,False,True
TARIL,Transformers And Rectifiers (India) Limited,Heavy Electrical Equipment,,Mid,False,True
SRF,SRF Limited,Specialty Chemicals,,Mid,False,True
SYNGENE,Syngene International Limited,Healthcare Research Analytics & Technology,,Mid,False,True
JSWINFRA,JSW Infrastructure Limited,Port & Port services,,Mid,False,True
DEEPAKNTR,Deepak Nitrite Limited,Specialty Chemicals,,Mid,False,True
OLECTRA,Olectra Greentech Limited,Passenger Cars & Utility Vehicles,,Mid,False,True
BELRISE,Belrise Industries Limited,Auto Components & Equipments,,Mid,False,True
ICICIGI,ICICI Lombard General Insurance Company Limited,General Insurance,,Mid,False,True
CONCOR,Container Corporation of India Limited,Logistics Solution Provider,,Mid,False,True
KARURVYSYA,Karur Vysya Bank Limited,Private Sector Bank,,Mid,False,True
DABUR,Dabur India Limited,Personal Care,,Mid,False,True
RADICO,Radico Khaitan Limited,Breweries & Distilleries,,Mid,False,True
DALBHARAT,Dalmia Bharat Limited,Cement & Cement Products,,Mid,False,True
SBICARD,SBI Cards and Payment Services Limited,Non Banking Financial Company (NBFC),,Mid,False,True
BHARTIHEXA,Bharti Hexacom Limited,Telecom - Cellular & Fixed line services,,Mid,False,True
IDBI,IDBI Bank Limited,Private Sector Bank,,Mid,False,True
GALLANTT,Gallantt Ispat Limited,Iron & Steel Products,,Mid,False,True
PWL,Physicswallah Limited,E-Learning,,Mid,False,True
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals,,Mid,False,True
NH,Narayana Hrudayalaya Ltd.,Hospital,,Mid,False,True
AFCONS,Afcons Infrastructure Limited,Civil Construction,,Mid,False,True
PAGEIND,Page Industries Limited,Garments & Apparels,,Mid,False,True
JKTYRE,JK Tyre & Industries Limited,Tyres & Rubber Products,,Mid,False,True
NATCOPHARM,Natco Pharma Limited,Pharmaceuticals,,Mid,False,True
NCC,NCC Limited,Civil Construction,,Small,False,True
FINCABLES,Finolex Cables Limited,Cables - Electricals,,Small,False,True
ASTERDM,Aster DM Healthcare Limited,Hospital,,Small,False,True
CEATLTD,CEAT Limited,Tyres & Rubber Products,,Small,False,True
SARDAEN,Sarda Energy & Minerals Limited,Iron & Steel,,Small,False,True
NTPCGREEN,NTPC Green Energy Limited,Power Generation,,Small,False,True
AEGISLOG,Aegis Logistics Limited,Trading - Gas,,Small,False,True
TATACAP,Tata Capital Limited,Non Banking Financial Company (NBFC),,Small,False,True
SHYAMMETL,Shyam Metalics and Energy Limited,Iron & Steel Products,,Small,False,True
ACC,ACC Limited,Cement & Cement Products,,Small,False,True
AFFLE,Affle 3i Limited,IT Enabled Services,,Small,False,True
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,,Small,False,True
ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Company,,Small,False,True
JUBLFOOD,Jubilant Foodworks Limited,Restaurants,,Small,False,True
IEX,Indian Energy Exchange Limited,Exchange and Data Platform,,Small,False,True
FSL,Firstsource Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,Small,False,True
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects,,Small,False,True
SAPPHIRE,Sapphire Foods India Limited,Restaurants,,Small,False,True
MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied,,Small,False,True
ANANDRATHI,Anand Rathi Wealth Limited,Financial Products Distributor,,Small,False,True
URBANCO,Urban Company Limited,E-Retail/ E-Commerce,,Small,False,True
ZYDUSWELL,Zydus Wellness Limited,Packaged Foods,,Small,False,True
MRPL,Mangalore Refinery and Petrochemicals Limited,Refineries & Marketing,,Small,False,True
CEMPRO,Cemindia Projects Limited,Civil Construction,,Small,False,True
FLUOROCHEM,Gujarat Fluorochemicals Limited,Specialty Chemicals,,Small,False,True
BALKRISIND,Balkrishna Industries Limited,Tyres & Rubber Products,,Small,False,True
ATUL,Atul Limited,Specialty Chemicals,,Small,False,True
PPLPHARMA,Piramal Pharma Limited,Pharmaceuticals,,Small,False,True
TATACHEM,Tata Chemicals Limited,Commodity Chemicals,,Small,False,True
WELSPUNLIV,Welspun Living Limited,Other Textile Products,,Small,False,True
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Tour Travel Related Services,,Small,False,True
JBMA,JBM Auto Limited,Auto Components & Equipments,,Small,False,True
KIMS,Krishna Institute of Medical Sciences Limited,Hospital,,Small,False,True
BEML,BEML Limited,Construction Vehicles,,Small,False,True
PIRAMALFIN,Piramal Finance Limited,Non Banking Financial Company (NBFC),,Small,False,True
M&MFIN,Mahindra & Mahindra Financial Services Limited,Non Banking Financial Company (NBFC),,Small,False,True
HDBFS,HDB Financial Services Limited,Non Banking Financial Company (NBFC),,Small,False,True
CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals,,Small,False,True
IKS,Inventurus Knowledge Solutions Limited,IT Enabled Services,,Small,False,True
SUPREMEIND,Supreme Industries Limited,Plastic Products - Industrial,,Small,False,True
TATAINVEST,Tata Investment Corporation Limited,Investment Company,,Small,False,True
ESCORTS,Escorts Kubota Limited,Tractors,,Small,False,True
ARE&M,Amara Raja Energy & Mobility Limited,Auto Components & Equipments,,Small,False,True
ABBOTINDIA,Abbott India Limited,Pharmaceuticals,,Small,False,True
SHREECEM,SHREE CEMENT LIMITED,Cement & Cement Products,,Small,False,True
LATENTVIEW,Latent View Analytics Limited,Computers - Software & Consulting,,Small,False,True
ENDURANCE,Endurance Technologies Limited,Auto Components & Equipments,,Small,False,True
GRAVITA,Gravita India Limited,Industrial Minerals,,Small,False,True
JWL,Jupiter Wagons Limited,Railway Wagons,,Small,False,True
BSOFT,BIRLASOFT LIMITED,Computers - Software & Consulting,,Small,False,True
BAJAJHFL,Bajaj Housing Finance Limited,Housing Finance Company,,Small,False,True
JINDALSAW,Jindal Saw Limited,Iron & Steel Products,,Small,False,True
INTELLECT,Intellect Design Arena Limited,Computers - Software & Consulting,,Small,False,True
POONAWALLA,Poonawalla Fincorp Limited,Non Banking Financial Company (NBFC),,Small,False,True
ABREL,Aditya Birla Real Estate Limited,Residential Commercial Projects,,Small,False,True
CRAFTSMAN,Craftsman Automation Limited,Auto Components & Equipments,,Small,False,True
GRANULES,Granules India Limited,Pharmaceuticals,,Small,False,True
IGL,Indraprastha Gas Limited,LPG/CNG/PNG/LNG Supplier,,Small,False,True
MAPMYINDIA,C.E. Info Systems Limited,Software Products,,Small,False,True
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Holding Company,,Small,False,True
MEDANTA,Global Health Limited,Hospital,,Small,False,True
CIEINDIA,CIE Automotive India Limited,Auto Components & Equipments,,Small,False,True
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodity Chemicals,,Small,False,True
IRCON,Ircon International Limited,Civil Construction,,Small,False,True
BLS,BLS International Services Limited,Tour Travel Related Services,,Small,False,True
J&KBANK,The Jammu & Kashmir Bank Limited,Private Sector Bank,,Small,False,True
UBL,United Breweries Limited,Breweries & Distilleries,,Small,False,True
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,,Small,False,True
ECLERX,eClerx Services Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,Small,False,True
RAILTEL,Railtel Corporation Of India Limited,Other Telecom Services,,Small,False,True
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals,,Small,False,True
CGCL,Capri Global Capital Limited,Non Banking Financial Company (NBFC),,Small,False,True
SCHAEFFLER,Schaeffler India Limited,Auto Components & Equipments,,Small,False,True
LTTS,L&T Technology Services Limited,IT Enabled Services,,Small,False,True
KPRMILL,K.P.R. Mill Limited,Other Textile Products,,Small,False,True
SWANCORP,SWAN CORP LIMITED,Petrochemicals,,Small,False,True
CUB,City Union Bank Limited,Private Sector Bank,,Small,False,True
KAJARIACER,Kajaria Ceramics Limited,Ceramics,,Small,False,True
BERGEPAINT,Berger Paints (I) Limited,Paints,,Small,False,True
AWL,AWL Agri Business Limited,Edible Oil,,Small,False,True
PTCIL,PTC Industries Limited,Other Industrial Products,,Small,False,True
CHOICEIN,Choice International Limited,Holding Company,,Small,False,True
RAINBOW,Rainbow Childrens Medicare Limited,Hospital,,Small,False,True
LEMONTREE,Lemon Tree Hotels Limited,Hotels & Resorts,,Small,False,True
ELGIEQUIP,Elgi Equipments Limited,Compressors Pumps & Diesel Engines,,Small,False,True
JSL,Jindal Stainless Limited,Iron & Steel,,Small,False,True
NEWGEN,Newgen Software Technologies Limited,Computers - Software & Consulting,,Small,False,True
ZENSARTECH,Zensar Technologies Limited,Computers - Software & Consulting,,Small,False,True
JMFINANCIL,JM Financial Limited,Holding Company,,Small,False,True
