nse_symbol,company_name,sector,industry,market_cap_tier,in_nifty50,in_nifty500
MMTC,MMTC Limited,Trading & Distributors,,Small,False,True
BIKAJI,Bikaji Foods International Limited,Packaged Foods,,Small,False,True
UTIAMC,UTI Asset Management Company Limited,Asset Management Company,,Small,False,True
CHALET,Chalet Hotels Limited,Hotels & Resorts,,Small,False,True
TTML,Tata Teleservices (Maharashtra) Limited,Telecom - Cellular & Fixed line services,,Small,False,True
HOMEFIRST,Home First Finance Company India Limited,Housing Finance Company,,Small,False,True
THELEELA,Leela Palaces Hotels & Resorts Limited,Hotels & Resorts,,Small,False,True
ABLBL,Aditya Birla Lifestyle Brands Limited,Speciality Retail,,Small,False,True
BLUEDART,Blue Dart Express Limited,Logistics Solution Provider,,Small,False,True
INDIACEM,The India Cements Limited,Cement & Cement Products,,Small,False,True
NIVABUPA,Niva Bupa Health Insurance Company Limited,General Insurance,,Small,False,True
EIHOTEL,EIH Limited,Hotels & Resorts,,Small,False,True
TEGA,Tega Industries Limited,Industrial Products,,Small,False,True
ASAHIINDIA,Asahi India Glass Limited,Auto Components & Equipments,,Small,False,True
NUVOCO,Nuvoco Vistas Corporation Limited,Cement & Cement Products,,Small,False,True
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Storage & Transportation,,Small,False,True
JUBLINGREA,Jubilant Ingrevia Limited,Specialty Chemicals,,Small,False,True
AAVAS,Aavas Financiers Limited,Housing Finance Company,,Small,False,True
ERIS,Eris Lifesciences Limited,Pharmaceuticals,,Small,False,True
DCMSHRIRAM,DCM Shriram Limited,Diversified,,Small,False,True
CANHLIFE,Canara HSBC Life Insurance Company Limited,Life Insurance,,Small,False,True
BBTC,The Bombay Burmah Trading Corporation Limited,Packaged Foods,,Small,False,True
RHIM,RHI MAGNESITA INDIA LIMITED,Electrodes & Refractories,,Small,False,True
GODIGIT,Go Digit General Insurance Limited,General Insurance,,Small,False,True
JSWDULUX,JSW Dulux Limited,Paints,,Small,False,True
SPLPETRO,Supreme Petrochem Limited,Petrochemicals,,Small,False,True
